Municipality,Vaccinated,Median income,Unemployment,Median age,Pensioners,Immigrants,Rural,M,C,L,KD,S,V,MP,SD,Turnout
Kristianstad,0.8144,277234,0.112,42.2,0.222,0.194,1,0.2180,0.0585,0.0616,0.0555,0.2619,0.0412,0.0279,0.2646,0.8634
Kristinehamn,0.8844,259320,0.105,45.4,0.275,0.142,0,0.1596,0.0875,0.0546,0.0592,0.3408,0.0755,0.0303,0.1796,0.8684
Krokom,0.8689,296466,0.051,41.9,0.220,0.076,0,0.1411,0.1871,0.0232,0.0562,0.3109,0.0832,0.0312,0.1558,0.8854
Kumla,0.8677,297627,0.067,40.7,0.204,0.132,0,0.1687,0.0705,0.0500,0.0798,0.3255,0.0561,0.0270,0.2108,0.8858
Kungsbacka,0.8751,348200,0.043,41.5,0.204,0.092,0,0.3061,0.0975,0.0759,0.0782,0.1632,0.0370,0.0366,0.1931,0.9180
Kungsör,0.8250,275464,0.114,43.4,0.242,0.194,1,0.1665,0.0855,0.0441,0.0561,0.3143,0.0585,0.0209,0.2391,0.8826
Kungälv,0.8475,334472,0.048,41.6,0.204,0.108,0,0.2215,0.0867,0.0605,0.0769,0.2513,0.0620,0.0426,0.1856,0.9057
Kävlinge,0.8694,329087,0.062,40.3,0.189,0.109,0,0.2566,0.0765,0.0637,0.0518,0.2263,0.0281,0.0331,0.2503,0.9107
Köping,0.8089,278238,0.106,43.5,0.245,0.216,0,0.1563,0.0674,0.0333,0.0586,0.3462,0.0643,0.0225,0.2394,0.8593
Laholm,0.8275,274091,0.071,44.3,0.259,0.152,0,0.1889,0.1174,0.0446,0.0759,0.2334,0.0391,0.0299,0.2569,0.8798
Landskrona,0.7482,261123,0.125,41.4,0.210,0.271,0,0.1763,0.0447,0.0673,0.0405,0.3208,0.0513,0.0319,0.2539,0.8345
Laxå,0.8463,257098,0.085,46.7,0.295,0.178,0,0.1201,0.0641,0.0281,0.0944,0.3547,0.0690,0.0164,0.2415,0.8684
Lekeberg,0.8552,301337,0.052,40.9,0.210,0.073,0,0.1568,0.1319,0.0302,0.0869,0.2586,0.0527,0.0272,0.2388,0.9084
Leksand,0.8917,276089,0.056,46.4,0.295,0.093,1,0.1957,0.1287,0.0362,0.0948,0.2613,0.0704,0.0365,0.1623,0.8948
Lerum,0.8442,347712,0.047,39.7,0.179,0.109,0,0.2354,0.0857,0.0745,0.0736,0.2251,0.0657,0.0571,0.1701,0.9126
Lessebo,0.8072,256533,0.150,42.4,0.240,0.259,0,0.1362,0.0726,0.0254,0.0544,0.3835,0.0715,0.0248,0.2213,0.8775
Lidingö,0.8307,368877,0.053,41.7,0.210,0.180,0,0.3602,0.1179,0.1078,0.0859,0.1235,0.0350,0.0494,0.1096,0.9016
Lidköping,0.8713,300070,0.060,43.3,0.237,0.109,1,0.1731,0.0890,0.0491,0.0724,0.3321,0.0638,0.0359,0.1730,0.8950
LillaEdet,0.7640,293349,0.069,41.4,0.203,0.174,0,0.1436,0.0674,0.0375,0.0516,0.2871,0.0729,0.0286,0.2975,0.8484
Lindesberg,0.8312,273764,0.091,44.0,0.257,0.155,0,0.1576,0.0849,0.0284,0.0605,0.3156,0.0608,0.0257,0.2502,0.8760
Linköping,0.8639,295878,0.071,39.5,0.177,0.179,0,0.2219,0.0965,0.0716,0.0649,0.2755,0.0643,0.0564,0.1317,0.8920
Ljungby,0.7876,283528,0.078,43.9,0.244,0.193,1,0.1862,0.0934,0.0305,0.0848,0.2831,0.0490,0.0248,0.2340,0.8691
Ljusdal,0.8273,260399,0.097,45.7,0.284,0.103,1,0.1441,0.1227,0.0336,0.0511,0.3399,0.0690,0.0275,0.1997,0.8366
Ljusnarsberg,0.7879,230904,0.125,48.5,0.322,0.178,1,0.1133,0.0597,0.0267,0.0420,0.3383,0.0697,0.0190,0.3120,0.8366
Lomma,0.8912,375620,0.042,41.6,0.212,0.101,0,0.3316,0.0933,0.0997,0.0638,0.1669,0.0254,0.0382,0.1711,0.9386
Ludvika,0.8229,271595,0.111,43.6,0.252,0.182,1,0.1409,0.0655,0.0350,0.0452,0.3541,0.0825,0.0290,0.2321,0.8708
Luleå,0.8655,306267,0.072,42.2,0.213,0.117,0,0.1538,0.0753,0.0437,0.0478,0.3897,0.1047,0.0357,0.1336,0.8904
Lund,NaN,273240,0.078,38.9,0.173,0.225,0,0.1913,0.0971,0.0976,0.0475,0.2318,0.0973,0.0913,0.1224,0.8974
Lycksele,0.8686,276986,0.074,43.6,0.251,0.110,1,0.1441,0.0731,0.0381,0.0967,0.3894,0.0945,0.0144,0.1379,0.8445
Lysekil,0.8586,277743,0.081,47.5,0.313,0.141,0,0.1562,0.0706,0.0543,0.0549,0.3238,0.0660,0.0430,0.2178,0.8754
Malmö,0.7219,252232,0.153,38.5,0.153,0.346,0,0.1948,0.0569,0.0559,0.0384,0.2910,0.1191,0.0558,0.1680,0.8201
Malung-Sälen,0.8403,268826,0.056,45.7,0.273,0.121,1,0.1898,0.0928,0.0315,0.0594,0.2898,0.0608,0.0173,0.2457,0.8698
Malå,0.8528,278749,0.058,45.8,0.288,0.111,1,0.0898,0.0801,0.0388,0.0561,0.4299,0.1418,0.0102,0.1443,0.8504
Mariestad,0.8595,281203,0.065,45.0,0.267,0.118,1,0.1990,0.0826,0.0369,0.0731,0.3300,0.0595,0.0310,0.1759,0.8749
Mark,0.7995,287347,0.056,43.1,0.234,0.135,0,0.1599,0.1065,0.0546,0.0706,0.2909,0.0726,0.0331,0.1983,0.8799
Markaryd,0.7534,254895,0.100,43.6,0.252,0.248,1,0.1651,0.0623,0.0182,0.1058,0.2704,0.0313,0.0157,0.3153,0.8573
Mellerud,0.8042,244704,0.114,45.5,0.280,0.182,1,0.1638,0.1197,0.0275,0.0711,0.2528,0.0432,0.0252,0.2855,0.8612
Mjölby,0.8775,297454,0.075,41.9,0.216,0.118,0,0.2028,0.0817,0.0443,0.0641,0.3170,0.0568,0.0283,0.1941,0.8863
Mora,0.8362,285303,0.057,45.6,0.283,0.086,1,0.1569,0.1181,0.0338,0.0678,0.2921,0.0612,0.0289,0.2254,0.8660
Motala,0.8643,275818,0.102,43.5,0.239,0.152,0,0.1951,0.0679,0.0443,0.0623,0.3267,0.0635,0.0267,0.2032,0.8824
Mullsjö,0.8409,291177,0.054,42.9,0.243,0.115,0,0.1412,0.0699,0.0263,0.1791,0.2530,0.0537,0.0400,0.2208,0.8956
Munkedal,0.8204,266607,0.069,43.9,0.255,0.125,1,0.1681,0.0920,0.0312,0.0719,0.2622,0.0623,0.0235,0.2743,0.8622
Munkfors,0.8411,247951,0.093,46.6,0.295,0.148,0,0.0833,0.0812,0.0291,0.0393,0.5218,0.0611,0.0137,0.1543,0.8513
Mölndal,0.8160,347217,0.051,39.2,0.159,0.184,0,0.2251,0.0806,0.0824,0.0628,0.2402,0.0763,0.0577,0.1584,0.8925
Mönsterås,0.8184,280256,0.086,44.8,0.270,0.145,1,0.1384,0.1002,0.0306,0.0649,0.3187,0.0531,0.0209,0.2627,0.8926
Mörbylånga,0.8939,293081,0.046,45.0,0.281,0.085,1,0.1853,0.1122,0.0392,0.0732,0.2713,0.0591,0.0403,0.2058,0.9169
Nacka,0.8154,368364,0.060,39.3,0.166,0.196,0,0.2873,0.1218,0.0841,0.0610,0.1937,0.0654,0.0654,0.1076,0.9000
Nora,0.8541,276052,0.086,45.0,0.277,0.141,0,0.1468,0.0887,0.0361,0.0630,0.3372,0.0634,0.0338,0.2141,0.8687
Norberg,0.8291,264868,0.105,45.5,0.286,0.152,1,0.1411,0.0572,0.0377,0.0409,0.3650,0.0954,0.0251,0.2162,0.8671
Nordanstig,0.7738,258832,0.072,45.2,0.274,0.090,1,0.1172,0.1179,0.0250,0.0687,0.3251,0.0963,0.0192,0.2148,0.8358
Nordmaling,0.8787,269364,0.083,45.8,0.287,0.094,0,0.1295,0.1357,0.0326,0.0586,0.3591,0.0915,0.0170,0.1632,0.8583
Norrköping,0.8207,283639,0.117,40.8,0.196,0.205,0,0.2046,0.0650,0.0481,0.0644,0.2834,0.0813,0.0404,0.1961,0.8632
Norrtälje,0.8379,280766,0.058,45.6,0.276,0.135,1,0.2223,0.0960,0.0474,0.0592,0.2624,0.0621,0.0376,0.1989,0.8710
Norsjö,0.8893,266859,0.067,46.5,0.294,0.097,1,0.0790,0.1079,0.0403,0.0923,0.4218,0.1005,0.0106,0.1298,0.8383
Nybro,0.8327,260442,0.089,44.2,0.253,0.183,1,0.1476,0.1021,0.0289,0.0750,0.3275,0.0593,0.0181,0.2271,0.8659
Nykvarn,0.8222,365679,0.052,39.6,0.170,0.130,0,0.2724,0.0765,0.0456,0.0606,0.2242,0.0352,0.0298,0.2455,0.9073
Nyköping,0.8537,294926,0.093,43.2,0.242,0.161,1,0.2008,0.0854,0.0451,0.0643,0.3196,0.0644,0.0448,0.1611,0.8868
Nynäshamn,0.7595,296255,0.074,42.7,0.224,0.190,0,0.2105,0.0644,0.0449,0.0582,0.2728,0.0676,0.0376,0.2308,0.8646
Nässjö,0.8095,284306,0.102,41.7,0.217,0.194,0,0.1541,0.0842,0.0346,0.1077,0.2938,0.0540,0.0287,0.2291,0.8795
Ockelbo,0.8085,255039,0.105,46.4,0.295,0.134,0,0.1129,0.1139,0.0196,0.0495,0.3174,0.0749,0.0283,0.2729,0.8615
Olofström,0.8095,267089,0.110,45.4,0.267,0.247,1,0.1202,0.0650,0.0230,0.0492,0.3663,0.0566,0.0192,0.2887,0.8503
Orsa,0.8188,254281,0.077,46.1,0.284,0.124,1,0.1145,0.1098,0.0261,0.0724,0.2793,0.0806,0.0298,0.2658,0.8670
Orust,0.8441,286306,0.045,47.7,0.310,0.089,1,0.1936,0.1014,0.0517,0.0674,0.2540,0.0672,0.0375,0.2125,0.8904
Osby,0.8195,266817,0.091,44.1,0.257,0.172,1,0.1614,0.0731,0.0243,0.0729,0.2818,0.0394,0.0225,0.3119,0.8702
Oskarshamn,0.8342,302668,0.077,43.8,0.252,0.149,1,0.1815,0.0604,0.0467,0.0821,0.3225,0.0590,0.0170,0.2222,0.8808
Ovanåker,0.8520,266732,0.090,45.5,0.282,0.094,1,0.1249,0.1697,0.0269,0.1007,0.3233,0.0480,0.0177,0.1782,0.8621
Oxelösund,0.8456,277802,0.118,45.2,0.280,0.225,1,0.1589,0.0424,0.0331,0.0473,0.3967,0.0883,0.0307,0.1881,0.8669
Pajala,0.8320,254141,0.069,48.9,0.355,0.148,1,0.0943,0.0507,0.0150,0.0738,0.3766,0.2001,0.0144,0.1647,0.8140
Partille,0.8100,340945,0.064,39.6,0.172,0.196,0,0.2320,0.0789,0.0719,0.0691,0.2378,0.0810,0.0531,0.1633,0.8785
Perstorp,0.7350,235901,0.146,41.9,0.222,0.260,0,0.1600,0.0504,0.0240,0.0533,0.2933,0.0332,0.0196,0.3529,0.8198
Piteå,0.8830,302970,0.061,43.6,0.243,0.069,1,0.1182,0.0749,0.0252,0.0480,0.4748,0.1056,0.0242,0.1181,0.8980
Ragunda,0.8358,249810,0.087,47.0,0.298,0.111,1,0.0789,0.1480,0.0165,0.0398,0.3752,0.0923,0.0154,0.2089,0.8541
Robertsfors,0.8878,273641,0.058,45.1,0.274,0.094,0,0.1054,0.1851,0.0238,0.0503,0.3794,0.1034,0.0270,0.1092,0.8712
Ronneby,0.8281,260463,0.140,43.7,0.254,0.176,1,0.1623,0.0705,0.0324,0.0520,0.2991,0.0551,0.0214,0.2942,0.8769
Rättvik,0.8494,260245,0.051,48.9,0.337,0.074,1,0.1684,0.1221,0.0310,0.0712,0.2673,0.0607,0.0298,0.2338,0.8718
Sala,0.8339,274970,0.090,43.9,0.253,0.145,0,0.1604,0.1177,0.0406,0.0604,0.2931,0.0628,0.0263,0.2224,0.8820
Salem,0.7636,340764,0.065,39.4,0.176,0.215,0,0.2484,0.0761,0.0758,0.0798,0.2307,0.0598,0.0448,0.1688,0.8781
Sandviken,0.8331,274578,0.125,43.7,0.245,0.179,0,0.1435,0.0670,0.0430,0.0448,0.3696,0.0839,0.0225,0.2142,0.8695
Sigtuna,0.7018,300324,0.107,38.2,0.146,0.355,0,0.2466,0.0665,0.0493,0.0756,0.2549,0.0639,0.0345,0.1928,0.8295
Simrishamn,0.8362,251352,0.080,49.6,0.352,0.129,1,0.2048,0.0819,0.0458,0.0603,0.2340,0.0575,0.0458,0.2499,0.8670
Sjöbo,0.7904,273499,0.067,43.8,0.237,0.109,0,0.1822,0.0705,0.0292,0.0617,0.1909,0.0331,0.0242,0.3923,0.8658
Skara,0.8207,286110,0.086,42.9,0.228,0.165,1,0.1935,0.0842,0.0364,0.0688,0.3042,0.0597,0.0362,0.2022,0.8766
Skellefteå,0.8689,297495,0.060,43.7,0.245,0.089,1,0.1195,0.0883,0.0338,0.0488,0.4531,0.0976,0.0303,0.1166,0.8787
Skinnskatteberg,0.8125,261525,0.078,47.2,0.302,0.176,1,0.1072,0.0667,0.0489,0.0394,0.3846,0.0656,0.0202,0.2524,0.8535
Skurup,0.7932,284327,0.086,41.9,0.209,0.135,0,0.2061,0.0724,0.0382,0.0438,0.2256,0.0427,0.0263,0.3334,0.8821
Skövde,0.8254,307087,0.075,40.8,0.199,0.159,1,0.2090,0.0880,0.0564,0.0804,0.2881,0.0563,0.0340,0.1694,0.8797
Smedjebacken,0.8545,283781,0.061,46.5,0.294,0.109,1,0.1394,0.0629,0.0246,0.0450,0.3898,0.0757,0.0212,0.2288,0.8810
Sollefteå,0.8464,253914,0.087,46.6,0.298,0.118,1,0.0896,0.1284,0.0160,0.0435,0.3525,0.1530,0.0150,0.1866,0.8645
